ORGANIZATION_ID,REPORT_ID,ALLOCATION_ID,DETAIL_SEQ_NO,AMOUNT_VOLUME,UNIT_VOLUME,AMOUNT_RATE,UNIT_RATE,SOURCE_TYPE,FRESH_SALINE_IND,ALLOCATION_START,ALLOCATION_END,SOURCE_NAME
AKDNR,2016,3260,1902,247644,1,,,1,1,01/01,12/31,Well #4
AKDNR,2017,3260,1902,247644,1,,,1,1,01/01,12/31,Well #4
AKDNR,2016,3261,1882,3014112,1,,,1,1,01/01,12/31,Well #1
AKDNR,2016,3261,2061,3014112,1,,,1,1,01/01,12/31,Well #3
AKDNR,2016,3261,2062,3014112,1,,,1,1,01/01,12/31,Well #5
AKDNR,2017,3261,1882,3014112,1,,,1,1,01/01,12/31,Well #1
AKDNR,2016,19238,302,188898564,1,,,2,1,01/01,12/31,Unnamed Spring
AKDNR,2017,19238,302,188898564,1,,,2,1,01/01,12/31,Unnamed Spring
AKDNR,2017,20178,2622,69875580,1,,,1,1,01/01,12/31,well
AKDNR,2017,29486,2285,729996,1,,,1,1,01/01,12/31,well 1 
AKDNR,2016,29976,407,11499996,1,,,2,1,01/01,12/31,Alaska State C-1 Pit
AKDNR,2017,29976,407,11499996,1,,,2,1,01/01,12/31,Alaska State C-1 Pit
AKDNR,2016,39797,842,1095000000,1,,,2,1,01/01,12/31,Pillar Creek 
AKDNR,2016,42925,221,1824999996,1,,,2,1,01/01,12/31,Monashka Creek
AKDNR,2017,42925,221,1824999996,1,,,2,1,01/01,12/31,Monashka Creek
AKDNR,2016,212648,1922,230903892,1,,,2,1,01/01,12/31,Orca Creek
AKDNR,2016,A2012-70,424,275019996,1,,,2,1,01/01,12/31,No. 21
AKDNR,2016,A2012-70,425,275019996,1,,,2,1,01/01,12/31,No. 22
AKDNR,2016,A2012-70,426,275019996,1,,,2,1,01/01,12/31,No. 23
AKDNR,2016,A2012-70,428,275019996,1,,,2,1,01/01,12/31,No. 25
AKDNR,2016,A2012-70,429,275019996,1,,,2,1,01/01,12/31,No. 24
AKDNR,2017,A2012-70,424,275019996,1,,,2,1,01/01,12/31,No. 21
AKDNR,2017,A2012-70,425,275019996,1,,,2,1,01/01,12/31,No. 22
AKDNR,2017,A2012-70,426,275019996,1,,,2,1,01/01,12/31,No. 23
AKDNR,2017,A2012-70,428,275019996,1,,,2,1,01/01,12/31,No. 25
AKDNR,2017,A2012-70,429,275019996,1,,,2,1,01/01,12/31,No. 24
AKDNR,2016,A2012-71,422,33699996,1,,,2,2,01/01,12/31,Beaufort Sea
AKDNR,2017,A2012-71,422,33699996,1,,,2,2,01/01,12/31,Beaufort Sea
AKDNR,2016,A2012-72,354,5390004,1,,,2,1,01/01,12/31,#7
AKDNR,2016,A2012-72,355,5390004,1,,,2,1,01/01,12/31,#6
AKDNR,2016,A2012-72,356,5390004,1,,,2,1,01/01,12/31,#5
AKDNR,2016,A2012-72,357,5390004,1,,,2,1,01/01,12/31,#8
AKDNR,2016,A2012-72,358,5390004,1,,,2,1,01/01,12/31,#9
AKDNR,2017,A2012-72,354,5390004,1,,,2,1,01/01,12/31,#7
AKDNR,2017,A2012-72,355,5390004,1,,,2,1,01/01,12/31,#6
AKDNR,2017,A2012-72,356,5390004,1,,,2,1,01/01,12/31,#5
AKDNR,2017,A2012-72,357,5390004,1,,,2,1,01/01,12/31,#8
AKDNR,2017,A2012-72,358,5390004,1,,,2,1,01/01,12/31,#9
AKDNR,2016,A2012-73,324,13790004,1,,,2,1,01/01,12/31,#10
AKDNR,2016,A2012-73,325,13790004,1,,,2,1,01/01,12/31,#11
AKDNR,2016,A2012-73,326,13790004,1,,,2,1,01/01,12/31,#12
AKDNR,2016,A2012-73,327,13790004,1,,,2,1,01/01,12/31,#13
AKDNR,2016,A2012-73,328,13790004,1,,,2,1,01/01,12/31,#14
AKDNR,2017,A2012-73,324,13790004,1,,,2,1,01/01,12/31,#10
AKDNR,2017,A2012-73,325,13790004,1,,,2,1,01/01,12/31,#11
AKDNR,2017,A2012-73,326,13790004,1,,,2,1,01/01,12/31,#12
AKDNR,2017,A2012-73,327,13790004,1,,,2,1,01/01,12/31,#13
AKDNR,2017,A2012-73,328,13790004,1,,,2,1,01/01,12/31,#14
AKDNR,2016,A2012-74,330,37590000,1,,,2,1,01/01,12/31,#10-09
AKDNR,2016,A2012-74,331,37590000,1,,,2,1,01/01,12/31,#10-10
AKDNR,2016,A2012-74,332,37590000,1,,,2,1,01/01,12/31,#10-11
AKDNR,2016,A2012-74,333,37590000,1,,,2,1,01/01,12/31,#10-14
AKDNR,2016,A2012-74,334,37590000,1,,,2,1,01/01,12/31,#10-18
AKDNR,2017,A2012-74,330,37590000,1,,,2,1,01/01,12/31,#10-09
AKDNR,2017,A2012-74,331,37590000,1,,,2,1,01/01,12/31,#10-10
AKDNR,2017,A2012-74,332,37590000,1,,,2,1,01/01,12/31,#10-11
AKDNR,2017,A2012-74,333,37590000,1,,,2,1,01/01,12/31,#10-14
AKDNR,2017,A2012-74,334,37590000,1,,,2,1,01/01,12/31,#10-18
AKDNR,2016,A2012-75,336,16299996,1,,,2,1,01/01,12/31,#10-01
AKDNR,2016,A2012-75,337,16299996,1,,,2,1,01/01,12/31,#10-02
