ORGANIZATION_ID,REPORT_ID,ALLOCATION_ID,LOCATION_SEQ,STATE,REPORTING_UNIT_ID,COUNTY_FIPS,HUC,WFS_FEATURE_REF
AKDNR,2016,203480,1,55,19020401,,19020401,
AKDNR,2016,212648,1,55,19020401,,19020401,
AKDNR,2016,39797,1,55,19020401,,19020401,
AKDNR,2016,400793,1,55,19020401,,19020401,
AKDNR,2016,407812,1,55,19020401,,19020401,
AKDNR,2016,42925,1,55,19020401,,19020401,
AKDNR,2016,29976,1,55,19060501,,19060501,
AKDNR,2016,A2014-102,1,55,19060403,,19060403,
AKDNR,2016,A2014-123,1,55,19060403,,19060403,
AKDNR,2016,A2014-143,1,55,19060403,,19060403,
AKDNR,2016,A2014-40,1,55,19060403,,19060403,
AKDNR,2016,A2014-41,1,55,19060403,,19060403,
AKDNR,2016,A2014-86,1,55,19060403,,19060403,
AKDNR,2016,A2015-116,1,55,19060403,,19060403,
AKDNR,2016,A2015-125,1,55,19060403,,19060403,
AKDNR,2016,A2016-53,1,55,19060403,,19060403,
AKDNR,2016,A2016-96,1,55,19060403,,19060403,
AKDNR,2016,A2017-17,1,55,19060403,,19060403,
AKDNR,2016,A2017-18,1,55,19060403,,19060403,
AKDNR,2016,A2017-19,1,55,19060403,,19060403,
AKDNR,2016,A2017-20,1,55,19060403,,19060403,
AKDNR,2016,A2017-76,1,55,19060403,,19060403,
AKDNR,2016,A2012-72,1,55,19060403,,19060403,
AKDNR,2016,A2012-73,1,55,19060403,,19060403,
AKDNR,2016,A2012-74,1,55,19060403,,19060403,
AKDNR,2016,A2012-75,1,55,19060402,,19060402,
AKDNR,2016,A2012-76,1,55,19060403,,19060403,
AKDNR,2016,A2012-77,1,55,19060403,,19060403,
AKDNR,2016,A2012-78,1,55,19060402,,19060402,
AKDNR,2016,A2012-79,1,55,19060402,,19060402,
AKDNR,2016,A2012-82,1,55,19060403,,19060403,
AKDNR,2016,A2012-83,1,55,19060402,,19060402,
AKDNR,2016,A2012-94,1,55,19060401,,19060401,
AKDNR,2016,A2013-160,1,55,19020302,,19020302,
AKDNR,2016,A2013-205,1,55,19060403,,19060403,
AKDNR,2016,A2013-206,1,55,19060403,,19060403,
AKDNR,2016,A2013-207,1,55,19060403,,19060403,
AKDNR,2016,A2013-208,1,55,19060403,,19060403,
AKDNR,2016,A2013-209,1,55,19060403,,19060403,
AKDNR,2016,A2013-210,1,55,19060403,,19060403,
AKDNR,2017,203480,1,55,19020401,,19020401,
AKDNR,2017,212648,1,55,19020401,,19020401,
AKDNR,2017,39797,1,55,19020401,,19020401,
AKDNR,2017,400793,1,55,19020401,,19020401,
AKDNR,2017,407812,1,55,19020401,,19020401,
AKDNR,2017,42925,1,55,19020401,,19020401,
AKDNR,2017,29976,1,55,19060501,,19060501,
AKDNR,2017,A2014-102,1,55,19060403,,19060403,
AKDNR,2017,A2014-123,1,55,19060403,,19060403,
AKDNR,2017,A2014-143,1,55,19060403,,19060403,
AKDNR,2017,A2014-40,1,55,19060403,,19060403,
AKDNR,2017,A2014-41,1,55,19060403,,19060403,
AKDNR,2017,A2014-86,1,55,19060403,,19060403,
AKDNR,2017,A2015-116,1,55,19060403,,19060403,
AKDNR,2017,A2015-125,1,55,19060403,,19060403,
AKDNR,2017,A2016-53,1,55,19060403,,19060403,
AKDNR,2017,A2016-96,1,55,19060403,,19060403,
AKDNR,2017,A2017-17,1,55,19060403,,19060403,
AKDNR,2017,A2017-18,1,55,19060403,,19060403,
AKDNR,2017,A2017-19,1,55,19060403,,19060403,
AKDNR,2017,A2017-20,1,55,19060403,,19060403,
AKDNR,2017,A2017-76,1,55,19060403,,19060403,
AKDNR,2017,A2012-72,1,55,19060403,,19060403,
AKDNR,2017,A2012-73,1,55,19060403,,19060403,
AKDNR,2017,A2012-74,1,55,19060403,,19060403,
AKDNR,2017,A2012-75,1,55,19060402,,19060402,
AKDNR,2017,A2012-76,1,55,19060403,,19060403,
AKDNR,2017,A2012-77,1,55,19060403,,19060403,
AKDNR,2017,A2012-78,1,55,19060402,,19060402,
AKDNR,2017,A2012-79,1,55,19060402,,19060402,
AKDNR,2017,A2012-82,1,55,19060403,,19060403,
AKDNR,2017,A2012-83,1,55,19060402,,19060402,
AKDNR,2017,A2012-94,1,55,19060401,,19060401,
AKDNR,2017,A2013-160,1,55,19020302,,19020302,
AKDNR,2017,A2013-205,1,55,19060403,,19060403,
AKDNR,2017,A2013-206,1,55,19060403,,19060403,
AKDNR,2017,A2013-207,1,55,19060403,,19060403,
AKDNR,2017,A2013-208,1,55,19060403,,19060403,
AKDNR,2017,A2013-209,1,55,19060403,,19060403,
AKDNR,2017,A2013-210,1,55,19060403,,19060403,
AKDNR,2018,203480,1,55,19020401,,19020401,
AKDNR,2018,212648,1,55,19020401,,19020401,
AKDNR,2018,39797,1,55,19020401,,19020401,
AKDNR,2018,400793,1,55,19020401,,19020401,
AKDNR,2018,407812,1,55,19020401,,19020401,
AKDNR,2018,42925,1,55,19020401,,19020401,
AKDNR,2018,29976,1,55,19060501,,19060501,
AKDNR,2018,A2014-102,1,55,19060403,,19060403,
AKDNR,2018,A2014-123,1,55,19060403,,19060403,
AKDNR,2018,A2014-143,1,55,19060403,,19060403,
